"Table 3.  Energy Prices by Sector and Source"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=3-AEO2022&region=1-3&cases=ref2022~highmacro~lowmacro~highprice~lowprice~highogs~lowogs~hirencst~lorencst~ng_iif_final&start=2020&end=2050&f=A&linechart=ref2022-d011222a.3-3-AEO2022.1-3~highmacro-d011622a.3-3-AEO2022.1-3~lowmacro-d011222a.3-3-AEO2022.1-3~highprice-d011222a.3-3-AEO2022.1-3~lowprice-d011222a.3-3-AEO2022.1-3~highogs-d011222a.3-3-AEO2022.1-3~lowogs-d011222a.3-3-AEO2022.1-3~hirencst-d011322a.3-3-AEO2022.1-3~lorencst-d011222a.3-3-AEO2022.1-3~ng_iif_final-d011322a.3-3-AEO2022.1-3~ref2022-d011222a.4-3-AEO2022.1-3~highmacro-d011622a.4-3-AEO2022.1-3~lowmacro-d011222a.4-3-AEO2022.1-3~highprice-d011222a.4-3-AEO2022.1-3~lowprice-d011222a.4-3-AEO2022.1-3~highogs-d011222a.4-3-AEO2022.1-3~lowogs-d011222a.4-3-AEO2022.1-3~hirencst-d011322a.4-3-AEO2022.1-3~lorencst-d011222a.4-3-AEO2022.1-3~ng_iif_final-d011322a.4-3-AEO2022.1-3~ref2022-d011222a.5-3-AEO2022.1-3~highmacro-d011622a.5-3-AEO2022.1-3~lowmacro-d011222a.5-3-AEO2022.1-3~highprice-d011222a.5-3-AEO2022.1-3~lowprice-d011222a.5-3-AEO2022.1-3~highogs-d011222a.5-3-AEO2022.1-3~lowogs-d011222a.5-3-AEO2022.1-3~hirencst-d011322a.5-3-AEO2022.1-3~lorencst-d011222a.5-3-AEO2022.1-3~ng_iif_final-d011322a.5-3-AEO2022.1-3~ref2022-d011222a.6-3-AEO2022.1-3~highmacro-d011622a.6-3-AEO2022.1-3~lowmacro-d011222a.6-3-AEO2022.1-3~highprice-d011222a.6-3-AEO2022.1-3~lowprice-d011222a.6-3-AEO2022.1-3~highogs-d011222a.6-3-AEO2022.1-3~lowogs-d011222a.6-3-AEO2022.1-3~hirencst-d011322a.6-3-AEO2022.1-3~lorencst-d011222a.6-3-AEO2022.1-3~ng_iif_final-d011322a.6-3-AEO2022.1-3&map=highmacro-d011622a.3-3-AEO2022.1-3&sourcekey=0"
"Tue Apr 26 2022 15:21:48 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2021-2050)"
Low renewables cost,"Energy Prices: Commercial: Propane": Low renewables cost,3-AEO2022.9.lorencst-d011222a,"2021 $/MMBtu",,17.271839,18.18956,16.76269,16.673296,16.563566,16.664928,16.965658,17.493397,17.867287,18.177734,18.413183,18.615314,18.860258,19.049105,19.164654,19.271849,19.442198,19.603067,19.681374,19.938894,20.153452,20.210318,20.295086,20.382931,20.385384,20.433147,20.480299,20.506245,20.451349,20.429363,"0.6%"
No Interstate Pipeline Builds,"Energy Prices: Commercial: Propane": No Interstate Pipeline Builds,3-AEO2022.9.ng_iif_final-d011322a,"2021 $/MMBtu",,17.271839,18.210911,16.74687,16.640991,16.51507,16.650215,17.024137,17.508789,17.919641,18.279112,18.595982,18.926006,19.132425,19.280376,19.402899,19.535961,19.715227,19.905714,19.938723,20.174782,20.392021,20.521914,20.680616,20.886955,21.018372,21.200542,21.30271,21.330156,21.356077,21.371155,"0.7%"
Distillate Fuel Oil,"Energy Prices: Commercial: Distillate Fuel Oil",3-AEO2022.10.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Commercial: Distillate Fuel Oil": AEO2022 Reference case,3-AEO2022.10.ref2022-d011222a,"2021 $/MMBtu",,19.703653,19.72435,18.139303,18.295933,17.578892,16.90962,16.330561,16.528778,16.655373,16.630089,16.909374,17.028929,17.122242,17.17136,17.270926,17.442307,17.660343,17.794069,17.866531,18.082468,18.191973,18.202587,18.455956,18.732126,18.828232,19.018038,19.061796,19.008095,18.981634,18.901606,"-0.1%"
High economic growth,"Energy Prices: Commercial: Distillate Fuel Oil": High economic growth,3-AEO2022.10.highmacro-d011622a,"2021 $/MMBtu",,19.657059,19.677706,17.897945,18.194983,17.521242,16.911537,16.510859,16.606981,16.724314,16.943293,17.13772,17.419538,17.475565,17.620073,17.798227,17.890343,18.203548,18.343992,18.461666,18.547104,18.864956,19.040911,19.345926,19.394564,19.49893,19.677711,19.680925,19.715763,19.879963,19.937872,"0.0%"
Low economic growth,"Energy Prices: Commercial: Distillate Fuel Oil": Low economic growth,3-AEO2022.10.lowmacro-d011222a,"2021 $/MMBtu",,19.735212,19.755941,17.905224,17.986055,17.340567,16.644217,16.070076,16.177525,16.289402,16.27809,16.439093,16.576782,16.655205,16.621569,16.618111,16.61936,16.761299,16.865595,16.857393,17.132616,17.299957,17.381054,17.628799,17.872877,17.911316,18.106865,18.080107,17.996523,18.069801,17.914047,"-0.3%"
High oil price,"Energy Prices: Commercial: Distillate Fuel Oil": High oil price,3-AEO2022.10.highprice-d011222a,"2021 $/MMBtu",,19.703653,28.136242,28.986244,29.400648,29.041855,28.877348,28.418209,28.721661,28.986465,28.939426,28.591892,28.7006,28.798967,29.138256,29.476927,30.028801,30.475845,30.360435,30.68977,30.833584,30.828712,31.13978,31.346203,31.470945,31.826977,32.026558,32.384151,32.723469,33.006538,33.355965,"1.8%"
Low oil price,"Energy Prices: Commercial: Distillate Fuel Oil": Low oil price,3-AEO2022.10.lowprice-d011222a,"2021 $/MMBtu",,19.703653,13.748934,13.094861,12.524834,11.827114,11.00834,10.066274,10.254857,10.270577,10.378201,10.42731,10.493729,10.625637,10.612294,10.856613,10.85071,10.868847,10.731901,10.707996,10.643081,10.591603,10.523567,10.471049,10.542434,10.521835,10.527565,10.504156,10.527335,10.471831,10.624542,"-2.1%"
High oil and gas supply,"Energy Prices: Commercial: Distillate Fuel Oil": High oil and gas supply,3-AEO2022.10.highogs-d011222a,"2021 $/MMBtu",,19.703653,19.72435,17.687965,17.353516,16.583914,15.917254,15.392987,15.541763,15.612027,15.556687,15.583894,15.649004,15.663254,15.503944,15.483072,15.463442,15.473318,15.558932,15.561862,15.87009,16.007483,16.014433,16.264471,16.382753,16.431936,16.668613,16.539124,16.5889,16.795902,16.868195,"-0.5%"
Low oil and gas supply,"Energy Prices: Commercial: Distillate Fuel Oil": Low oil and gas supply,3-AEO2022.10.lowogs-d011222a,"2021 $/MMBtu",,19.703653,19.72435,18.064165,18.579771,18.199535,17.692261,17.272478,17.758461,18.682161,18.950861,19.309772,19.637014,19.907507,20.115509,20.205635,20.385218,20.642048,20.714472,20.831133,20.475592,20.443533,20.523769,20.809986,21.012062,21.366369,21.460796,21.514362,21.334827,21.344275,21.44104,"0.3%"
High renewables cost,"Energy Prices: Commercial: Distillate Fuel Oil": High renewables cost,3-AEO2022.10.hirencst-d011322a,"2021 $/MMBtu",,19.703653,19.72435,17.97776,18.168186,17.493797,16.776411,16.243551,16.384771,16.48509,16.504757,16.742268,16.948244,16.951778,17.037319,17.172871,17.362619,17.546665,17.687288,17.727634,17.878275,18.001713,18.058067,18.276899,18.489674,18.573103,18.769934,18.802258,18.744606,18.698402,18.670219,"-0.2%"
Low renewables cost,"Energy Prices: Commercial: Distillate Fuel Oil": Low renewables cost,3-AEO2022.10.lorencst-d011222a,"2021 $/MMBtu",,19.703653,19.72435,18.127979,18.271051,17.592035,16.902227,16.329477,16.532797,16.636147,16.646217,16.923019,17.015671,17.127071,17.17926,17.273163,17.458406,17.700886,17.799532,17.851624,18.088478,18.236103,18.267305,18.457579,18.73303,18.833511,19.02062,19.028276,18.977682,18.973419,18.887953,"-0.1%"
No Interstate Pipeline Builds,"Energy Prices: Commercial: Distillate Fuel Oil": No Interstate Pipeline Builds,3-AEO2022.10.ng_iif_final-d011322a,"2021 $/MMBtu",,19.703653,19.72435,18.156557,18.288769,17.5958,16.916643,16.344995,16.536007,16.640032,16.636518,16.912088,17.040562,17.130836,17.192762,17.274256,17.442886,17.671844,17.806677,17.86685,18.070965,18.23568,18.230232,18.448677,18.703966,18.790327,18.981428,19.028856,18.951513,18.945513,18.882793,"-0.1%"
Residual Fuel Oil,"Energy Prices: Commercial: Residual Fuel",3-AEO2022.11.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Commercial: Residual Fuel": AEO2022 Reference case,3-AEO2022.11.ref2022-d011222a,"2021 $/MMBtu",,6.188437,7.409567,7.555089,8.928345,9.498525,10.111448,10.901605,11.106865,11.204987,11.360044,11.540702,11.68164,11.802149,11.81408,11.833508,11.767187,11.690477,11.933922,11.791672,12.314841,12.486753,12.627501,12.998554,13.245115,13.320997,13.498501,13.554956,13.535283,13.546698,13.503389,"2.7%"
High economic growth,"Energy Prices: Commercial: Residual Fuel": High economic growth,3-AEO2022.11.highmacro-d011622a,"2021 $/MMBtu",,6.173803,7.392045,7.466771,8.913463,9.550434,10.200102,11.087073,11.186156,11.308313,11.458642,11.551291,11.668244,11.792009,11.790749,11.977616,12.019081,12.011054,12.219134,12.066441,13.068794,13.309273,13.446996,13.866879,13.892839,13.934543,14.373769,14.169401,14.048482,14.081474,14.040639,"2.9%"
Low economic growth,"Energy Prices: Commercial: Residual Fuel": Low economic growth,3-AEO2022.11.lowmacro-d011222a,"2021 $/MMBtu",,6.198349,7.421434,7.371761,8.72227,9.361402,9.92749,10.762533,10.885399,10.984502,11.118485,11.217285,11.406724,11.503098,11.543362,11.606661,11.639047,11.546968,11.655701,11.589785,12.16939,12.298463,12.322654,12.561847,12.810814,12.850522,13.037171,13.047057,13.01508,13.086997,13.009796,"2.6%"
High oil price,"Energy Prices: Commercial: Residual Fuel": High oil price,3-AEO2022.11.highprice-d011222a,"2021 $/MMBtu",,6.188437,15.628564,17.540592,18.907286,19.602365,20.545004,21.379175,21.819811,22.088045,22.10512,22.086023,22.243164,22.176216,22.382336,22.99275,23.290243,23.641312,23.56234,23.941963,23.968483,23.899096,24.150055,24.3895,24.494967,24.78541,24.892733,25.186024,25.431971,25.674532,26.011827,"5.1%"
Low oil price,"Energy Prices: Commercial: Residual Fuel": Low oil price,3-AEO2022.11.lowprice-d011222a,"2021 $/MMBtu",,6.188437,3.993301,4.322798,4.912326,5.358689,5.733419,5.913538,6.138159,6.196588,6.316558,6.401084,6.48201,6.621138,6.628176,6.875397,6.94236,6.99461,6.97009,6.992238,6.973843,6.944969,6.921739,6.924806,7.030098,7.042978,7.089995,7.10053,7.133893,7.118064,7.255755,"0.6%"
High oil and gas supply,"Energy Prices: Commercial: Residual Fuel": High oil and gas supply,3-AEO2022.11.highogs-d011222a,"2021 $/MMBtu",,6.188437,7.409567,7.258258,8.420214,8.90225,9.549563,10.315454,10.468781,10.567779,10.633809,10.714915,10.823005,10.864489,10.812756,10.832162,10.859032,10.865892,11.008752,11.00913,11.330676,11.516909,11.566422,11.722477,11.842681,11.90524,12.134958,12.026838,12.078521,12.252548,12.309078,"2.4%"
Low oil and gas supply,"Energy Prices: Commercial: Residual Fuel": Low oil and gas supply,3-AEO2022.11.lowogs-d011222a,"2021 $/MMBtu",,6.188437,7.409567,7.815808,9.389666,10.001244,10.802969,11.688216,12.048492,12.822016,12.918795,13.139594,13.449212,13.72403,13.839135,13.824374,14.072329,13.983034,14.380637,14.229116,14.562937,14.712583,14.822289,15.100692,15.040118,15.136565,15.310996,15.319939,15.393786,15.470294,15.4361,"3.2%"
High renewables cost,"Energy Prices: Commercial: Residual Fuel": High renewables cost,3-AEO2022.11.hirencst-d011322a,"2021 $/MMBtu",,6.188437,7.409567,7.434064,8.826654,9.423831,10.025432,10.838717,10.991246,11.089022,11.230397,11.418609,11.606487,11.665811,11.666532,11.736316,11.699179,11.584985,11.798079,11.687613,12.151444,12.328033,12.418245,12.851582,13.05488,13.144147,13.311814,13.361949,13.332926,13.318987,13.324562,"2.7%"
Low renewables cost,"Energy Prices: Commercial: Residual Fuel": Low renewables cost,3-AEO2022.11.lorencst-d011222a,"2021 $/MMBtu",,6.188437,7.409567,7.559824,8.911108,9.502599,10.112088,10.900075,11.106736,11.192649,11.364737,11.534386,11.672737,11.799185,11.772094,11.832736,11.77885,11.709831,11.894888,11.769835,12.296501,12.496379,12.595556,12.996364,13.252185,13.331876,13.497089,13.54165,13.525004,13.542079,13.500415,"2.7%"
No Interstate Pipeline Builds,"Energy Prices: Commercial: Residual Fuel": No Interstate Pipeline Builds,3-AEO2022.11.ng_iif_final-d011322a,"2021 $/MMBtu",,6.188437,7.409567,7.569952,8.922908,9.507934,10.117385,10.905501,11.108084,11.208843,11.364978,11.547559,11.688536,11.805441,11.762075,11.810081,11.764523,11.697561,11.932621,11.788435,12.297833,12.467529,12.600278,13.014152,13.254955,13.341991,13.504114,13.557487,13.537851,13.554311,13.522843,"2.7%"
Natural Gas,"Energy Prices: Commercial: Natural Gas",3-AEO2022.12.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Commercial: Natural Gas": AEO2022 Reference case,3-AEO2022.12.ref2022-d011222a,"2021 $/MMBtu",,7.361898,7.917444,7.541039,7.169664,6.952577,6.863363,6.846218,6.975279,7.163039,7.220595,7.306569,7.328629,7.422614,7.41833,7.37189,7.376531,7.408526,7.426698,7.44819,7.46625,7.493181,7.495925,7.506651,7.479373,7.480866,7.488664,7.493824,7.498805,7.515727,7.530117,"0.1%"
High economic growth,"Energy Prices: Commercial: Natural Gas": High economic growth,3-AEO2022.12.highmacro-d011622a,"2021 $/MMBtu",,7.344488,7.911868,7.562717,7.213812,7.034061,6.940695,6.918815,7.041437,7.185734,7.244106,7.312001,7.402072,7.490286,7.520479,7.490238,7.48271,7.509666,7.532118,7.547287,7.561722,7.592346,7.616554,7.648787,7.663665,7.698866,7.721571,7.725688,7.71288,7.757134,7.798626,"0.2%"
Low economic growth,"Energy Prices: Commercial: Natural Gas": Low economic growth,3-AEO2022.12.lowmacro-d011222a,"2021 $/MMBtu",,7.373689,7.962465,7.548682,7.160701,6.900303,6.778445,6.717023,6.86764,7.026807,7.131041,7.214032,7.219352,7.328331,7.356638,7.295956,7.248724,7.272838,7.291008,7.317343,7.339235,7.402741,7.415293,7.385875,7.353678,7.320467,7.312008,7.310307,7.312171,7.341281,7.363021,"-0.0%"
High oil price,"Energy Prices: Commercial: Natural Gas": High oil price,3-AEO2022.12.highprice-d011222a,"2021 $/MMBtu",,7.361898,7.969493,7.344954,6.962618,6.81002,6.699017,6.688982,6.811954,7.008508,7.123496,7.229117,7.312201,7.382031,7.389965,7.363579,7.340663,7.370784,7.416752,7.456561,7.519765,7.583708,7.575939,7.571627,7.560246,7.571105,7.584357,7.599507,7.594408,7.646514,7.681997,"0.1%"
Low oil price,"Energy Prices: Commercial: Natural Gas": Low oil price,3-AEO2022.12.lowprice-d011222a,"2021 $/MMBtu",,7.361898,7.882576,7.672622,7.585187,7.334472,7.136777,7.070853,7.170097,7.258868,7.270389,7.338286,7.378153,7.458137,7.534915,7.564775,7.5495,7.547425,7.531522,7.496818,7.473645,7.491901,7.490794,7.508372,7.5413,7.576433,7.561483,7.568311,7.567658,7.58969,7.620346,"0.1%"
High oil and gas supply,"Energy Prices: Commercial: Natural Gas": High oil and gas supply,3-AEO2022.12.highogs-d011222a,"2021 $/MMBtu",,7.361898,7.659524,7.154284,6.715805,6.460901,6.341458,6.291041,6.40961,6.517705,6.588332,6.633266,6.645209,6.718674,6.730622,6.720739,6.708469,6.72053,6.704626,6.710286,6.695007,6.694829,6.666461,6.658764,6.655017,6.676424,6.690982,6.690873,6.687096,6.715869,6.738511,"-0.3%"
Low oil and gas supply,"Energy Prices: Commercial: Natural Gas": Low oil and gas supply,3-AEO2022.12.lowogs-d011222a,"2021 $/MMBtu",,7.361898,8.671062,8.354834,8.275603,8.072326,8.082589,8.077038,8.334009,8.713529,8.879574,9.136131,9.340147,9.556136,9.692678,9.74809,9.88095,9.987858,10.070825,10.177354,10.283237,10.327915,10.308908,10.291512,10.397346,10.474875,10.555279,10.605155,10.640944,10.730884,10.811891,"1.3%"
High renewables cost,"Energy Prices: Commercial: Natural Gas": High renewables cost,3-AEO2022.12.hirencst-d011322a,"2021 $/MMBtu",,7.361898,7.920726,7.541612,7.184601,6.972036,6.89025,6.890221,7.035052,7.199385,7.321706,7.378492,7.437797,7.517458,7.501788,7.472396,7.449969,7.457704,7.461125,7.47461,7.497708,7.496574,7.559816,7.5352,7.560838,7.545614,7.55858,7.580585,7.580161,7.62243,7.628237,"0.1%"
Low renewables cost,"Energy Prices: Commercial: Natural Gas": Low renewables cost,3-AEO2022.12.lorencst-d011222a,"2021 $/MMBtu",,7.361898,8.082765,7.642371,7.238101,7.004794,6.896039,6.831296,6.987957,7.133103,7.181099,7.192756,7.212289,7.297027,7.348906,7.348722,7.315748,7.319545,7.334152,7.35757,7.360805,7.406321,7.415999,7.409006,7.424181,7.448335,7.458745,7.420132,7.414679,7.418031,7.434221,"0.0%"
No Interstate Pipeline Builds,"Energy Prices: Commercial: Natural Gas": No Interstate Pipeline Builds,3-AEO2022.12.ng_iif_final-d011322a,"2021 $/MMBtu",,7.361898,8.050046,7.611095,7.216458,7.006835,6.874,6.893229,7.02306,7.181163,7.332225,7.421001,7.480271,7.548222,7.599499,7.642242,7.665925,7.676471,7.741637,7.799986,7.856092,7.91336,7.951896,7.985301,7.999774,8.044378,8.06827,8.10232,8.122617,8.168721,8.221394,"0.4%"
Electricity,"Energy Prices: Commercial: Electricity",3-AEO2022.13.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Commercial: Electricity": AEO2022 Reference case,3-AEO2022.13.ref2022-d011222a,"2021 $/MMBtu",,32.101334,31.933954,30.640938,29.803335,29.526285,29.264544,29.021975,28.985792,28.7784,29.266306,29.224047,29.207594,29.124565,28.90727,28.699047,28.507223,28.332203,28.209965,28.113075,28.141268,28.078115,27.920782,27.767218,27.591974,27.468512,27.39999,27.310213,27.261589,27.124741,26.970629,"-0.6%"
High economic growth,"Energy Prices: Commercial: Electricity": High economic growth,3-AEO2022.13.highmacro-d011622a,"2021 $/MMBtu",,32.054569,31.600861,30.690483,29.957838,29.606415,29.314039,29.089745,29.017019,29.065302,29.114538,29.149258,29.562901,29.521536,29.297525,29.09096,28.919149,28.813305,28.645906,28.515795,28.504696,28.494276,28.482044,28.387619,28.290693,28.242193,28.16799,28.038607,27.911627,27.776482,27.628845,"-0.5%"
Low economic growth,"Energy Prices: Commercial: Electricity": Low economic growth,3-AEO2022.13.lowmacro-d011222a,"2021 $/MMBtu",,32.160061,31.710688,30.33943,29.664185,29.435865,29.424372,28.960886,28.757805,28.852575,28.83597,28.760332,28.749697,28.581425,28.665144,28.290218,28.040043,27.844763,27.684586,27.554529,27.504221,27.476469,27.368561,27.143147,26.96913,26.925049,26.799339,26.645159,26.499037,26.442316,26.303705,"-0.7%"
High oil price,"Energy Prices: Commercial: Electricity": High oil price,3-AEO2022.13.highprice-d011222a,"2021 $/MMBtu",,32.1548,31.587603,30.251444,29.464104,28.920815,28.784887,28.512276,28.247959,28.24509,28.158691,28.07686,28.00355,27.831093,27.510538,27.19208,26.791792,26.560869,26.350576,26.272909,26.271893,26.273129,26.195089,26.02022,26.006357,25.979712,25.95138,25.923609,25.896328,25.889074,25.867968,"-0.7%"
Low oil price,"Energy Prices: Commercial: Electricity": Low oil price,3-AEO2022.13.lowprice-d011222a,"2021 $/MMBtu",,32.143185,31.688761,30.52562,30.138269,30.074223,29.681265,29.390491,29.326017,29.326473,29.280243,29.262051,29.277794,29.148394,29.003563,28.864399,29.086506,28.932674,28.778122,28.627535,28.536215,28.456938,28.319105,28.164841,28.05368,28.015329,27.906153,27.803495,27.716288,27.59757,27.453552,"-0.5%"
High oil and gas supply,"Energy Prices: Commercial: Electricity": High oil and gas supply,3-AEO2022.13.highogs-d011222a,"2021 $/MMBtu",,32.115189,31.587278,30.157541,29.220715,28.855679,28.887558,28.42828,28.139021,28.094452,27.986778,27.895245,27.768387,27.714962,27.561552,27.307085,27.129969,27.002893,26.879627,26.778374,26.739578,26.665154,26.513535,26.29866,26.123857,26.024082,25.986368,25.877779,25.759766,25.601748,25.557056,"-0.8%"
Low oil and gas supply,"Energy Prices: Commercial: Electricity": Low oil and gas supply,3-AEO2022.13.lowogs-d011222a,"2021 $/MMBtu",,32.163319,31.849119,31.178446,31.042202,30.638607,30.565096,30.719423,31.008442,31.284336,31.564503,31.41946,31.558659,31.987778,31.92058,31.672293,31.848557,31.43371,31.602049,31.600607,31.656015,31.628342,31.396202,31.127815,30.998829,30.951654,30.867743,30.753164,30.669195,30.562412,30.469025,"-0.2%"
High renewables cost,"Energy Prices: Commercial: Electricity": High renewables cost,3-AEO2022.13.hirencst-d011322a,"2021 $/MMBtu",,32.119236,31.659668,30.49703,29.818054,29.537601,29.316303,29.131657,29.110046,29.187113,29.19315,29.16024,29.153154,29.111921,28.988924,29.072903,28.897106,28.765356,28.681837,28.655602,28.610664,28.532543,28.424362,28.223627,28.088736,28.030985,27.933426,27.87812,27.853447,27.72525,27.566599,"-0.5%"
Low renewables cost,"Energy Prices: Commercial: Electricity": Low renewables cost,3-AEO2022.13.lorencst-d011222a,"2021 $/MMBtu",,32.125137,31.674688,30.486097,29.79883,29.460218,29.191811,28.833923,28.779438,28.873795,29.216854,29.13975,29.067589,28.923244,28.466803,28.298012,28.110369,27.939318,27.920919,27.819481,27.747911,27.637865,27.398987,27.462711,26.999178,26.938139,26.864771,27.004747,26.9512,26.683823,26.36459,"-0.7%"
No Interstate Pipeline Builds,"Energy Prices: Commercial: Electricity": No Interstate Pipeline Builds,3-AEO2022.13.ng_iif_final-d011322a,"2021 $/MMBtu",,32.108162,31.942638,30.631142,29.913509,29.376518,29.350723,29.145643,28.959185,29.23105,29.321875,29.257811,29.369297,29.315676,29.02293,29.076424,28.961117,28.811914,28.721495,28.663279,28.690643,28.686895,28.639414,28.52483,28.398394,28.381134,28.390898,28.264591,28.138294,27.962984,27.807108,"-0.5%"
Industrial,,3-AEO2022.15.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,"Energy Prices: Industrial: Propane",3-AEO2022.16.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Industrial: Propane": AEO2022 Reference case,3-AEO2022.16.ref2022-d011222a,"2021 $/MMBtu",,13.641981,14.473857,12.690696,12.673786,12.554608,12.704501,13.113275,13.681419,14.057202,14.454497,14.810349,15.102989,15.386189,15.557034,15.672612,15.832416,16.038618,16.228031,16.321312,16.630306,16.814444,16.831152,17.024878,17.258875,17.293581,17.409199,17.486641,17.525883,17.502066,17.474977,"0.9%"
High economic growth,"Energy Prices: Industrial: Propane": High economic growth,3-AEO2022.16.highmacro-d011622a,"2021 $/MMBtu",,13.60972,14.54129,12.730313,12.7988,12.821664,12.998405,13.446629,13.947656,14.40354,14.886034,15.264493,15.764869,16.006588,16.185095,16.312527,16.439926,16.654547,16.757467,16.91255,17.159145,17.45793,17.718365,18.021637,18.18392,18.267593,18.484159,18.503218,18.580307,18.765202,18.942162,"1.1%"
Low economic growth,"Energy Prices: Industrial: Propane": Low economic growth,3-AEO2022.16.lowmacro-d011222a,"2021 $/MMBtu",,13.663832,14.357594,12.540752,12.504602,12.409207,12.512105,12.822186,13.316793,13.784143,14.126071,14.469291,14.762371,15.093698,15.225081,15.235613,15.257844,15.447802,15.651038,15.748788,16.043148,16.289669,16.491388,16.830479,17.069897,17.026379,16.866844,16.727716,16.679976,16.703079,16.638475,"0.7%"
High oil price,"Energy Prices: Industrial: Propane": High oil price,3-AEO2022.16.highprice-d011222a,"2021 $/MMBtu",,13.641981,20.184866,21.241232,21.23782,21.309223,21.604334,22.228804,23.156439,24.060497,24.795584,25.366631,25.845587,26.133717,26.206171,26.48065,26.66127,26.965889,27.363125,27.73382,28.264498,28.415359,28.617352,28.756165,28.795248,29.052351,29.150276,29.458502,29.669096,29.988768,30.291498,"2.8%"
Low oil price,"Energy Prices: Industrial: Propane": Low oil price,3-AEO2022.16.lowprice-d011222a,"2021 $/MMBtu",,13.641981,8.082344,7.371231,7.520508,7.66119,7.750674,7.74415,8.035631,8.191423,8.345703,8.506213,8.676657,8.870127,9.014189,9.272093,9.432399,9.52953,9.53999,9.551489,9.484255,9.445429,9.434836,9.393973,9.489177,9.520446,9.526322,9.52036,9.536726,9.538008,9.637949,"-1.2%"
High oil and gas supply,"Energy Prices: Industrial: Propane": High oil and gas supply,3-AEO2022.16.highogs-d011222a,"2021 $/MMBtu",,13.641981,13.992361,11.771788,11.15362,10.81174,10.731717,10.79797,11.039766,11.332569,11.526113,11.663326,11.997527,12.319461,12.392177,12.38145,12.434854,12.58373,12.800809,12.860516,13.125033,13.201523,13.236582,13.286613,13.309353,13.33262,13.316136,13.240873,13.175626,13.271592,13.297623,"-0.1%"
Low oil and gas supply,"Energy Prices: Industrial: Propane": Low oil and gas supply,3-AEO2022.16.lowogs-d011222a,"2021 $/MMBtu",,13.641981,15.259123,13.994263,14.900345,15.521676,16.139341,16.768982,17.538237,18.930109,19.791079,20.589682,21.342079,21.963158,22.467512,22.702618,23.238289,23.520514,23.891157,24.253948,24.309107,24.306349,24.287579,24.503086,24.916275,25.338739,25.559778,25.713737,25.765579,25.957733,25.986998,"2.2%"
High renewables cost,"Energy Prices: Industrial: Propane": High renewables cost,3-AEO2022.16.hirencst-d011322a,"2021 $/MMBtu",,13.641981,14.500037,12.684898,12.732324,12.699254,12.871651,13.290789,13.841067,14.315405,14.673605,15.018606,15.453039,15.738726,15.949783,16.051847,16.22456,16.377777,16.533415,16.638483,16.944826,17.056973,17.10092,17.304535,17.551516,17.668419,17.861641,17.96603,17.972649,17.967522,17.973892,"1.0%"
Low renewables cost,"Energy Prices: Industrial: Propane": Low renewables cost,3-AEO2022.16.lorencst-d011222a,"2021 $/MMBtu",,13.641981,14.448452,12.680418,12.649088,12.547384,12.683581,13.028943,13.632629,14.044667,14.390572,14.652168,14.880586,15.165145,15.380357,15.509141,15.632815,15.836239,16.024996,16.111506,16.427437,16.680943,16.737417,16.838963,16.944614,16.941895,17.001724,17.058598,17.088404,17.017101,16.99264,"0.8%"
No Interstate Pipeline Builds,"Energy Prices: Industrial: Propane": No Interstate Pipeline Builds,3-AEO2022.16.ng_iif_final-d011322a,"2021 $/MMBtu",,13.641981,14.474222,12.661138,12.612511,12.49342,12.669581,13.098686,13.647712,14.106032,14.509691,14.867747,15.248475,15.479145,15.646091,15.786756,15.943228,16.157368,16.383659,16.412146,16.705206,16.964975,17.11454,17.30641,17.558874,17.713211,17.937357,18.056479,18.084023,18.114868,18.132792,"1.0%"
Distillate Fuel Oil,"Energy Prices: Industrial: Distillate Fuel Oil",3-AEO2022.17.,"2021 $/MMBtu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEO2022 Reference case,"Energy Prices: Industrial: Distillate Fuel Oil": AEO2022 Reference case,3-AEO2022.17.ref2022-d011222a,"2021 $/MMBtu",,20.117596,20.055504,18.448477,18.528191,17.760923,17.030531,16.388241,16.581291,16.707209,16.678604,16.954222,17.067724,17.159929,17.203217,17.302074,17.473806,17.691013,17.824409,17.897518,18.109865,18.220316,18.230021,18.486879,18.764427,18.860043,19.044386,19.092043,19.042381,19.012363,18.930532,"-0.2%"
